trial,subj_id,run,LR_choice,identity_choice,value_accuracy,LR_solution,reward,cumulative_reward,rt,total_trial_time,iti,high_value_identity,id_choice,stim_duration,stim_onset,stim_offset,abs_response_time,reward_f,reward_m
0,6,1,,,,L,0,-20,,1.501505334000285,8.03193737664335,f,,1.4904565750002803,0.031170501999440603,1.5216270769997209,0.7815850629995111,84,27
1,6,1,76.0,f,True,L,8,-12,0.36670413499996357,1.5013426909999907,5.729697978538753,f,f,1.4923872680001296,9.611587132999375,11.103974400999505,9.978300090999255,83,56
2,6,1,76.0,f,True,L,6,-6,0.3543413639999926,1.501290285000323,4.203781960496207,f,f,1.4923667690000002,16.891375603999222,18.383742372999222,17.24573581599998,62,43
3,6,1,76.0,f,True,L,4,-2,0.32008494599995174,1.5010127639998245,6.510085794177009,f,f,1.4919610479992116,22.635557053999946,24.127518101999158,22.955650084999434,49,22
4,6,1,76.0,f,True,L,7,5,0.3541329689996928,1.500839889999952,5.229638931160589,f,f,1.486547296000026,30.69989459699991,32.18644189299994,31.05403927399948,75,24
5,6,1,76.0,f,True,L,8,13,0.3391868170001544,1.5012069009999323,4.153688053163605,f,f,1.4851922549996743,37.468721709999954,38.95391396499963,37.80791530499937,82,35
6,6,1,76.0,f,True,L,9,22,0.49537134999991395,1.5012924969996675,6.921808202255095,f,f,1.4944945380002537,43.156541969999125,44.65103650799938,43.65192035999917,92,38
7,6,1,82.0,m,False,L,1,23,0.38084920900018915,1.5017350819998683,4.2580179693413545,f,m,1.48136562199943,51.64245340399975,53.12381902599918,52.02330416699988,81,17
8,6,1,82.0,m,False,L,4,27,0.32374340499973187,1.501379831000122,4.62266913112678,f,m,1.492142003000481,57.42855270999917,58.92069471299965,57.752304025999365,77,41
9,6,1,82.0,m,False,L,3,30,0.36674992600001133,1.5013836379994245,4.341841097042079,f,m,1.4924796730001617,63.59089249799945,65.08337217099961,63.95764610799961,81,39
10,6,1,82.0,m,True,R,5,35,0.3760970590001307,1.5003696229996422,4.784584429512417,m,m,1.489894049999748,69.47084505099974,70.96073910099949,69.8469535739996,50,58
11,6,1,,,,R,0,15,,1.5010949620000247,6.399007240008974,m,,1.4929324670001733,75.79260911399979,77.28554158099996,76.54430633999982,10,62
